run_seed,model,attribute,attention_bin,age_group,n_samples,n_subjects,window_mae,subject_balanced_mae,gender
8192,subject_age_gap,age_group,"(1.999, 2.5]","(13.0, 20.0]",1025,3,0.44142813659295804,0.3872572748225766,
8192,subject_age_gap,age_group,"(1.999, 2.5]","(20.0, 22.0]",663,2,0.39764837334058944,0.3964833456470331,
8192,subject_age_gap,age_group,"(1.999, 2.5]","(22.0, 26.0]",1892,3,0.4116603829139887,0.39073578006873405,
8192,subject_age_gap,age_group,"(1.999, 2.5]","(26.0, 44.0]",205,1,0.3069161857046732,0.3069161857046732,
8192,subject_age_gap,age_group,"(2.5, 3.0]","(13.0, 20.0]",2996,3,0.1636135434117591,0.16119444275061404,
8192,subject_age_gap,age_group,"(2.5, 3.0]","(20.0, 22.0]",1717,2,0.14224839474339782,0.1415995399090182,
8192,subject_age_gap,age_group,"(2.5, 3.0]","(22.0, 26.0]",2209,3,0.1383557414619995,0.13361323879282108,
8192,subject_age_gap,age_group,"(2.5, 3.0]","(26.0, 44.0]",1211,1,0.1355456475085409,0.1355456475085409,
8192,subject_age_gap,age_group,"(3.0, 3.5]","(13.0, 20.0]",772,3,0.2983036794810715,0.3356866035590402,
8192,subject_age_gap,age_group,"(3.0, 3.5]","(20.0, 22.0]",512,2,0.4071756359189749,0.3837062825629467,
8192,subject_age_gap,age_group,"(3.0, 3.5]","(22.0, 26.0]",1509,3,0.39961536693762595,0.3928405249050579,
8192,subject_age_gap,age_group,"(3.0, 3.5]","(26.0, 44.0]",162,1,0.40431158189420346,0.40431158189420346,
8192,subject_age_gap,age_group,"(3.5, 4.75]","(13.0, 20.0]",202,3,0.4941314399832546,0.6467862040249269,
8192,subject_age_gap,age_group,"(3.5, 4.75]","(20.0, 22.0]",38,2,0.7451326407884297,0.7451326407884297,
8192,subject_age_gap,age_group,"(3.5, 4.75]","(22.0, 26.0]",488,3,0.8479677086970845,0.8966089227712666,
8192,subject_age_gap,age_group,"(3.5, 4.75]","(26.0, 44.0]",35,1,0.7712077208927699,0.7712077208927699,
8192,subject_age_gap,gender,"(1.999, 2.5]",,2075,6,0.4624609392235078,0.4004570856216192,female
8192,subject_age_gap,gender,"(1.999, 2.5]",,1710,3,0.3498698977699057,0.34370650931431873,male
8192,subject_age_gap,gender,"(2.5, 3.0]",,5504,6,0.1565393826296163,0.1524015695376238,female
8192,subject_age_gap,gender,"(2.5, 3.0]",,2629,3,0.13031856974706582,0.12958611824371327,male
8192,subject_age_gap,gender,"(3.0, 3.5]",,2170,6,0.3537705320367066,0.3458879259663589,female
